scenario,rep,method,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,Comm,Runtime
p20_hetero_mild,5,local,23.2,0.7097789953359779,0.7482658480680184,0.6761904760294785,0,0.0,0.0,0.40535658973794647,8000,4.480010271072388
p20_hetero_mild,6,local,7.6,0.8706263382847579,0.8900300742580635,0.8533333330488888,0,0.0,0.0,0.5065337718998661,8000,1.987213134765625
p20_hetero_mild,7,local,8.0,0.8601577851857247,0.9061172999892632,0.8199999997266666,0,0.0,0.0,0.4703816234157814,8000,2.963076114654541
p20_hetero_mild,8,local,21.6,0.6790568629114925,0.688439617574305,0.6705882350968858,0,0.0,0.0,0.35874583465372817,8000,3.8055765628814697
p20_hetero_mild,9,local,20.2,0.6974079007713823,0.7922820620076446,0.6270270268575603,0,0.0,0.0,0.38037564731838513,8000,6.009809255599976
p20_hetero_mild,10,local,25.6,0.6482949763059722,0.6986631013971298,0.605128204973044,0,0.0,0.0,0.28697265248368026,8000,5.294411897659302
p20_hetero_mild,11,local,23.2,0.6882447398408369,0.7239756251327658,0.656410256241946,0,0.0,0.0,0.3699425226420275,8000,5.330283164978027
p20_hetero_mild,12,local,14.8,0.785792921532423,0.8452108641410445,0.7351351349364499,0,0.0,0.0,0.40124049237800447,8000,3.3756394386291504
p20_hetero_mild,13,local,24.8,0.640321997075284,0.6167359573675812,0.6666666664646463,0,0.0,0.0,0.4391640912612639,8000,5.931245803833008
p20_hetero_mild,14,local,29.6,0.5914800463492925,0.6421952239375832,0.5487179485772518,0,0.0,0.0,0.2887544440237685,8000,4.862271785736084
p20_hetero_mild,15,local,15.6,0.7526602377769175,0.8149630539074652,0.6999999997941176,0,0.0,0.0,0.3812446675317753,8000,3.396263599395752
p20_hetero_mild,16,local,21.4,0.7109077380906426,0.8209121619053917,0.6285714284217687,0,0.0,0.0,0.2744014677475733,8000,7.804673433303833
p20_hetero_mild,17,local,22.2,0.6932399148437274,0.7556517942131891,0.6410256408612754,0,0.0,0.0,0.2983805143978511,8000,5.465562582015991
p20_hetero_mild,18,local,32.4,0.5840558589660179,0.6518004661562905,0.5302325580162249,0,0.0,0.0,0.24071893595445593,8000,7.234554052352905
p20_hetero_mild,19,local,36.2,0.541765631624678,0.6311662693767903,0.47555555544987654,0,0.0,0.0,0.12952600961338545,8000,7.915213346481323
p20_hetero_strong,0,local,28.8,0.5954862604358451,0.7027092931614,0.517073170605592,0,0.0,0.0,0.2144613361572309,8000,4.835984706878662
p20_hetero_strong,1,local,20.8,0.7027347037121071,0.6836134186243934,0.7235294115519031,0,0.0,0.0,0.4145500580206255,8000,3.733610153198242
p20_hetero_strong,2,local,13.2,0.8048017436053474,0.836393853272685,0.7771428569208163,0,0.0,0.0,0.49792470932025107,8000,2.468684434890747
p20_hetero_strong,3,local,11.8,0.7882326976893246,0.7914782532619598,0.7857142854336734,0,0.0,0.0,0.5244599639408222,8000,2.67677640914917
p20_hetero_strong,4,local,22.0,0.7100132693010891,0.8182107840650115,0.6279069765981612,0,0.0,0.0,0.2985508002538469,8000,5.374971389770508
p20_hetero_strong,5,local,21.6,0.6899484025847388,0.7387343257903257,0.6486486484733383,0,0.0,0.0,0.31124191381885324,8000,3.187342882156372
p20_hetero_strong,6,local,21.2,0.6394246327557321,0.6547475510698909,0.6266666664577778,0,0.0,0.0,0.2659829023310417,8000,4.483745813369751
p20_hetero_strong,7,local,22.2,0.6924657482914258,0.7763257573346479,0.62499999984375,0,0.0,0.0,0.3365921101198975,8000,5.355600118637085
p20_hetero_strong,8,local,26.6,0.5958447874256338,0.5994117645215564,0.5939393937594122,0,0.0,0.0,0.2700913100088397,8000,5.42883825302124
p20_hetero_strong,9,local,28.6,0.6416392534958172,0.7580172521307678,0.5565217390094518,0,0.0,0.0,0.22948592208112295,8000,8.101402521133423
p20_hetero_strong,10,local,22.4,0.6691845711443701,0.7421280481069037,0.6108108106457267,0,0.0,0.0,0.30513002013679846,8000,6.812431335449219
p20_hetero_strong,11,local,19.4,0.7021742747561988,0.6929578036337967,0.7124999997773438,0,0.0,0.0,0.5295264867343674,8000,3.3617451190948486
p20_hetero_strong,12,local,41.6,0.4924610767675901,0.6542596346747767,0.39607843129488657,0,0.0,0.0,0.14380077744012706,8000,7.896128177642822
p20_hetero_strong,13,local,34.0,0.5486717436793089,0.6648179269550882,0.46818181807541326,0,0.0,0.0,0.19752226336705073,8000,7.802761554718018
p20_hetero_strong,14,local,27.2,0.5668181766593724,0.5992614313164012,0.5393939392304866,0,0.0,0.0,0.23870508707498922,8000,4.481998443603516
p20_hetero_strong,15,local,15.4,0.7524581717730393,0.8017569783786407,0.7090909088760331,0,0.0,0.0,0.4025136732933373,8000,3.8204493522644043
p20_hetero_strong,16,local,22.0,0.6944308777029988,0.7828978444008843,0.62499999984375,0,0.0,0.0,0.3611424470776723,8000,6.769680738449097
p20_hetero_strong,17,local,28.2,0.614028528813322,0.7031635316484254,0.5463414632813801,0,0.0,0.0,0.18479495691082073,8000,5.366282224655151
p20_hetero_strong,18,local,15.4,0.7792282658022203,0.8050727864517805,0.755555555345679,0,0.0,0.0,0.5538690074489956,8000,5.016870975494385
p20_hetero_strong,19,local,10.4,0.816166875706666,0.8120342411683836,0.8214285711352041,0,0.0,0.0,0.40558205577043055,8000,2.5034658908843994
p20_tau0.3,0,local,24.0,0.6703402773715343,0.7451449981425824,0.6099999998474999,0,0.0,0.0,0.3436301020649858,8000,6.052459239959717
p20_tau0.3,1,local,38.0,0.5220071675229485,0.5781160791581426,0.4790697673304489,0,0.0,0.0,0.24053160517382635,8000,9.213499546051025
p20_tau0.3,2,local,41.6,0.4803328942311148,0.5501196840793717,0.4266666665718518,0,0.0,0.0,0.0951894723565597,8000,9.307716846466064
p20_tau0.3,3,local,16.2,0.7504823571890872,0.8153981499626111,0.6971428569436734,0,0.0,0.0,0.4174619060787549,8000,3.432356357574463
p20_tau0.3,4,local,24.8,0.6513746929603157,0.6990730356502567,0.6105263156288088,0,0.0,0.0,0.42747060688045646,8000,4.447540760040283
p20_tau0.3,5,local,31.8,0.5735256958577123,0.6571453212692264,0.5095238094024943,0,0.0,0.0,0.1698606053276015,8000,6.092357635498047
p20_tau0.3,6,local,30.4,0.6118769256945711,0.7188326232537511,0.5333333332148148,0,0.0,0.0,0.2850398689696251,8000,6.323129415512085
p20_tau0.3,7,local,21.4,0.6707108635302154,0.661096934174069,0.6812499997871093,0,0.0,0.0,0.34762018168444114,8000,3.6339635848999023
p20_tau0.3,8,local,37.4,0.5361687434597314,0.6276059589162043,0.46956521728922496,0,0.0,0.0,0.11785336196786264,8000,7.708766460418701
p20_tau0.3,9,local,38.4,0.5571870913560182,0.624592556943574,0.504166666561632,0,0.0,0.0,0.27217878291641434,8000,8.147106409072876
p20_tau0.3,10,local,43.0,0.4915791668955591,0.6216033680202483,0.40784313717493276,0,0.0,0.0,0.19075662378093067,8000,8.321928977966309
p20_tau0.3,11,local,23.2,0.6663053657478671,0.7126351349152268,0.6270270268575603,0,0.0,0.0,0.30295044028546037,8000,4.983952045440674
p20_tau0.3,12,local,15.2,0.7750202666033162,0.8292693057001106,0.7277777775756172,0,0.0,0.0,0.3536973473025876,8000,5.873742580413818
p20_tau0.3,13,local,12.8,0.7822284318711855,0.8283623142700478,0.7419354836316336,0,0.0,0.0,0.4840796335276455,8000,3.87868070602417
